Name,URL,Address,Trust,Postcode
Victoria Hospital (Romford),/Services/hospitals/Overview/DefaultView.aspx?id=110575,"Pettits Lane, Romford, Essex, RM1 4HL","Barking, Havering and Redbridge University Hospitals NHS Trust",RM1 4HL
Chase Farm Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=2728,"127 The Ridgeway, Enfield, Middlesex, EN2 8JL","Barnet, Enfield and Haringey Mental Health NHS Trust",EN2 8JL
Edgware Community Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=2622,"Burnt Oak Broadway, Edgware, Middlesex, HA8 0AD","Barnet, Enfield and Haringey Mental Health NHS Trust",HA8 0AD
Finchley Memorial Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=2698,"Granville Road, London, Greater London, N12 0JE","Barnet, Enfield and Haringey Mental Health NHS Trust",N12 0JE
Royal National Orthopaedic Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=2530,"Brockley Hill, Stanmore, Middlesex, HA7 4LP","Barnet, Enfield and Haringey Mental Health NHS Trust",HA7 4LP
St Andrews Court,/Services/hospitals/Overview/DefaultView.aspx?id=100241,"1-4 River Front, Enfield Town, Enfield, Middlesex, EN1 3SY","Barnet, Enfield and Haringey Mental Health NHS Trust",EN1 3SY
Barnsley Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=539,"Gawber Road, Barnsley, Yorkshire, S75 2EP",Barnsley Hospital NHS Foundation Trust,S75 2EP
Gateway Surgical Centre,/Services/hospitals/Overview/DefaultView.aspx?id=46338,"Glen Road, Plaistow, London, E13 8SL",Barts Health NHS Trust,E13 8SL
Mile End Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=46340,"Bancroft Road, London, E1 4DG",Barts Health NHS Trust,E1 4DG
Newham Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=46346,"Glen Road, Plaistow, London, E13 8SL",Barts Health NHS Trust,E13 8SL
St Bartholomew's Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=46345,"St Bartholomew’s Hospital, West Smithfield, City of London, EC1A 7BE",Barts Health NHS Trust,EC1A 7BE
The Royal London Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=46339,"Whitechapel Road, Whitechapel, London, E1 1FR",Barts Health NHS Trust,E1 1FR
Wanstead Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=113674,"Makepeace Road, London, Greater London, E11 1UU",Barts Health NHS Trust,E11 1UU
Whipps Cross Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=46344,"Whipps Cross Road, London, E11 1NR",Barts Health NHS Trust,E11 1NR
Bedford Hospital North Wing,/Services/hospitals/Overview/DefaultView.aspx?id=421,"32-34 Kimbolton Road, Bedford, Bedfordshire, MK40 2NS",Bedford Hospital NHS Trust,MK40 2NS
Bedford Hospital South Wing,/Services/hospitals/Overview/DefaultView.aspx?id=532,"South Wing, Kempston Road, Bedford, Bedfordshire, MK42 9DJ",Bedford Hospital NHS Trust,MK42 9DJ
L&d Bowel Cancer Screening,/Services/hospitals/Overview/DefaultView.aspx?id=658,"Luton and Dunstable Hospital, Lewsey Road, Luton, Bedfordshire, LU4 0DZ",Bedford Hospital NHS Trust,LU4 0DZ
Basingstoke And North Hampshire Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=135824,"Aldermaston Road, Basingstoke, Hampshire, RG24 9NA",Berkshire Healthcare NHS Foundation Trust,RG24 9NA
Frimley Park Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=114961,"Portsmouth Road, Frimley, Camberley, Surrey, GU16 7UJ",Berkshire Healthcare NHS Foundation Trust,GU16 7UJ
King Edward Vii,/Services/hospitals/Overview/DefaultView.aspx?id=85790,"St. Leonards Road, Windsor, Berkshire, SL4 3DP",Berkshire Healthcare NHS Foundation Trust,SL4 3DP
Prospect Park Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=2618,"Honey End Lane, Tilehurst, Reading, Berkshire, RG30 4EJ",Berkshire Healthcare NHS Foundation Trust,RG30 4EJ
Royal Berkshire Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=114946,"London Road, Reading, Berkshire, RG1 5AN",Berkshire Healthcare NHS Foundation Trust,RG1 5AN
St Mark's Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=85788,"St Mark's Road, Maidenhead, Berkshire, Berkshire, SL6 6DU",Berkshire Healthcare NHS Foundation Trust,SL6 6DU
St Peters Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=115895,"Guildford Road, Chertsey, Surrey, KT16 0PZ",Berkshire Healthcare NHS Foundation Trust,KT16 0PZ
Townlands Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=114851,"York Road, Henley-On-Thames, Oxfordshire, RG9 2EB",Berkshire Healthcare NHS Foundation Trust,RG9 2EB
Upton Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=85789,"Albert Street, Slough, Berkshire, SL1 2BJ",Berkshire Healthcare NHS Foundation Trust,SL1 2BJ
West Berkshire Community Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=34237,"London Road, RG18 3AS",Berkshire Healthcare NHS Foundation Trust,RG18 3AS
West Berkshire Community Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=95639,"London Road, Benham Hill, Thatcham, Berkshire, RG18 3AS",Berkshire Healthcare NHS Foundation Trust,RG18 3AS
Wexham Park Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=100171,"Wexham Street, Wexham, Slough, Berkshire, SL2 4HL",Berkshire Healthcare NHS Foundation Trust,SL2 4HL
Wokingham Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=34238,"41 Barkham Road, Wokingham, Berkshire, RG41 2XR",Berkshire Healthcare NHS Foundation Trust,RG41 2XR
Ardenleigh,/Services/hospitals/Overview/DefaultView.aspx?id=2323,"385 Kingsbury Road, Erdington, Birmingham, West Midlands, B24 9SA",Birmingham and Solihull Mental Health NHS Foundation Trust,B24 9SA
Ashcroft,/Services/hospitals/Overview/DefaultView.aspx?id=2766,"Ashcroft Complex Care Unit, The Moorings, Hockley, Birmingham, West Midlands, B18 5SD",Birmingham and Solihull Mental Health NHS Foundation Trust,B18 5SD
Barberry ,/Services/hospitals/Overview/DefaultView.aspx?id=2723,"25 Vincent Drive, Birmingham, B15 2FG",Birmingham and Solihull Mental Health NHS Foundation Trust,B15 2FG
Dan Mooney House,/Services/hospitals/Overview/DefaultView.aspx?id=2328,"1 Woodside Crescent, Off Downing Close, Knowle, Solihull, B93 0QA",Birmingham and Solihull Mental Health NHS Foundation Trust,B93 0QA
David Bromley House,/Services/hospitals/Overview/DefaultView.aspx?id=2682,"1 Woodside Crescent, Off Downing Close, Knowle, Solihull, B93 0QA",Birmingham and Solihull Mental Health NHS Foundation Trust,B93 0QA
Eden Unit,/Services/hospitals/Overview/DefaultView.aspx?id=95207,"Fentham Road, 355 Slade Road, Erdington, Birmingham, West Midlands, B23 6AL",Birmingham and Solihull Mental Health NHS Foundation Trust,B23 6AL
Endeavour Court,/Services/hospitals/Overview/DefaultView.aspx?id=30270,"210 Reservoir Road, Erdington, Birmingham, West Midlands, B23 6DJ",Birmingham and Solihull Mental Health NHS Foundation Trust,B23 6DJ
Forward House,/Services/hospitals/Overview/DefaultView.aspx?id=94252,"Entrance D, 71 Fentham Road, Erdington, Birmingham, West Midlands, B23 6AL",Birmingham and Solihull Mental Health NHS Foundation Trust,B23 6AL
Grove Avenue,/Services/hospitals/Overview/DefaultView.aspx?id=2592,"32 Grove Avenue, Moseley, Birmingham, B13 9RY",Birmingham and Solihull Mental Health NHS Foundation Trust,B13 9RY
Hertford House,/Services/hospitals/Overview/DefaultView.aspx?id=2863,"29 Old Warwick Road, Olton, Solihull, West Midlands, B92 7JQ",Birmingham and Solihull Mental Health NHS Foundation Trust,B92 7JQ
Hillis Lodge,/Services/hospitals/Overview/DefaultView.aspx?id=2850,"Hollymoor Way, Northfield, Birmingham, B31 5HE",Birmingham and Solihull Mental Health NHS Foundation Trust,B31 5HE
Juniper Centre,/Services/hospitals/Overview/DefaultView.aspx?id=29287,"Moseley Hall Hospital site, Alcester Road, Moseley, Birmingham, B13 8JL",Birmingham and Solihull Mental Health NHS Foundation Trust,B13 8JL
Mary Seacole House,/Services/hospitals/Overview/DefaultView.aspx?id=29761,"Lodge Road, Winson Green, Birmingham, West Midlands, B18 5SD",Birmingham and Solihull Mental Health NHS Foundation Trust,B18 5SD
Oleaster,/Services/hospitals/Overview/DefaultView.aspx?id=29769,"6 Mindelsohn Crescent, Edgbaston, Birmingham, West Midlands, B15 2SY",Birmingham and Solihull Mental Health NHS Foundation Trust,B15 2SY
Reaside Clinic,/Services/hospitals/Overview/DefaultView.aspx?id=29764,"Birmingham Great Park, Bristol Road South, Rednal, Birmingham, West Midlands, B45 9BE",Birmingham and Solihull Mental Health NHS Foundation Trust,B45 9BE
Reservoir Court,/Services/hospitals/Overview/DefaultView.aspx?id=29765,"220 Reservoir Road, Erdington, Birmingham, West Midlands, B23 6DJ",Birmingham and Solihull Mental Health NHS Foundation Trust,B23 6DJ
Tamarind Centre,/Services/hospitals/Overview/DefaultView.aspx?id=96608,"165 Yardley Green Road, Bordesley Green, Birmingham, B9 5PU",Birmingham and Solihull Mental Health NHS Foundation Trust,B9 5PU
Zinnia Centre,/Services/hospitals/Overview/DefaultView.aspx?id=29768,"100 Showell Green Lane, Birmingham, West Midlands, B11 4HL",Birmingham and Solihull Mental Health NHS Foundation Trust,B11 4HL
Birmingham Dental Hospital and School of Dentistry,/Services/hospitals/Overview/DefaultView.aspx?id=30301,"5 Mill Pool Way, Birmingham (SatNav B5 7SA), B5 7EG",Birmingham Community Healthcare NHS Foundation Trust,B5 7SA
Moseley Hall Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=29930,"Alcester Road, Birmingham, B13 8JL",Birmingham Community Healthcare NHS Foundation Trust,B13 8JL
West Heath Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=30264,"West Heath Hospital, Rednal Road, Birmingham, West Midlands, B38 8HR",Birmingham Community Healthcare NHS Foundation Trust,B38 8HR
West Midlands Rehabilitation Centre,/Services/hospitals/Overview/DefaultView.aspx?id=139906,"West Midlands Rehabilitation Centre, Oak Tree Lane, Birmingham, West Midlands, B29 6JA",Birmingham Community Healthcare NHS Foundation Trust,B29 6JA
Birmingham Children's Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=951,"Steelhouse Lane, Birmingham, B4 6NH",Birmingham Women's and Children's NHS Foundation Trust,B4 6NH
Birmingham Women's Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=128358,"Mindelsohn Way, Edgbaston, Birmingham, West Midlands, B15 2TG",Birmingham Women's and Children's NHS Foundation Trust,B15 2TG
Good Hope Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=128481,"Rectory Road, Sutton Coldfield, West Midlands, B75 7RR",Birmingham Women's and Children's NHS Foundation Trust,B75 7RR
Bloxwich Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=154454,"Reeves Street, Walsall, WS3 2JJ",Black Country Healthcare NHS Foundation Trust,WS3 2JJ
Bushey Fields Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=154456,"Bushey Fields Road, Dudley, DY1 2LZ",Black Country Healthcare NHS Foundation Trust,DY1 2LZ
Dorothy Pattison Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=154455,"Alumwell Close, Walsall, WS2 9XH",Black Country Healthcare NHS Foundation Trust,WS2 9XH
Edward Street Day Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=133410,"Edward Street, West Bromwich, West Midlands, B70 8NL",Black Country Healthcare NHS Foundation Trust,B70 8NL
Edward Street Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=3087,"Edward Street, Edward Street, West Bromwich, B70 8NL",Black Country Healthcare NHS Foundation Trust,B70 8NL
Hallam Street Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=2455,"Hallam Street, Hallam Street, West Bromwich, B71 4NH",Black Country Healthcare NHS Foundation Trust,B71 4NH
Heath Lane Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=2914,"Heath Lane, West Bromwich, West Midlands, B71 2BG",Black Country Healthcare NHS Foundation Trust,B71 2BG
New Cross Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=134470,"Wednesfield Road, Wolverhampton, West Midlands, WV10 0QP",Black Country Healthcare NHS Foundation Trust,WV10 0QP
Penn Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=102125,"Penn Hospital, Penn Road, Penn, Wolverhampton, WV4 5HN",Black Country Healthcare NHS Foundation Trust,WV4 5HN
Russells Hall Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=134278,"Pensnett Road, Dudley, West Midlands, DY1 2HQ",Black Country Healthcare NHS Foundation Trust,DY1 2HQ
West Park Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=134144,"Park Road, Wolverhampton, West Midlands, WV1 4PW",Black Country Healthcare NHS Foundation Trust,WV1 4PW
Blackburn Royal Infirmary,/Services/hospitals/Overview/DefaultView.aspx?id=119581,"Haslingden Road, Blackburn, Lancashire, BB2 3HH",Blackpool Teaching Hospitals NHS Foundation Trust,BB2 3HH
Blackpool Victoria Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=1974,"Whinney Heys Road, Blackpool, Lancashire, FY3 8NR",Blackpool Teaching Hospitals NHS Foundation Trust,FY3 8NR
Burnley General Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=114579,"Casterton Avenue, Burnley, Lancashire, BB10 2PQ",Blackpool Teaching Hospitals NHS Foundation Trust,BB10 2PQ
Chorley And South Ribble Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=147544,"Preston Road, Chorley, Lancashire, PR7 1PP",Blackpool Teaching Hospitals NHS Foundation Trust,PR7 1PP
Clifton Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=2111,"Pershore Road, Lytham St. Annes, Lancashire, FY8 1PB",Blackpool Teaching Hospitals NHS Foundation Trust,FY8 1PB
Lancashire Bowel Cancer Screening Programme - Blackpool Victoria Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=863,"Victoria Hospital, Whinney Heys Road, Blackpool, Lancashire, FY3 8NR",Blackpool Teaching Hospitals NHS Foundation Trust,FY3 8NR
Lancashire Bowel Cancer Screening Programme - Clifton Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=2287,"Pershore Road, Lytham St. Annes, Lancashire, FY8 1PB",Blackpool Teaching Hospitals NHS Foundation Trust,FY8 1PB
Lancashire Bowel Cancer Screening Programme - Fleetwood Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=1830,"Pharos Street, Fleetwood, Lancashire, FY7 6BE",Blackpool Teaching Hospitals NHS Foundation Trust,FY7 6BE
Lancashire Bowel Screening Service (Euxton Hall Hospital),/Services/hospitals/Overview/DefaultView.aspx?id=2217,"Euxton Hall Hospital, Wigan Road, Euxton, Chorley, Lancashire, PR7 6DY",Blackpool Teaching Hospitals NHS Foundation Trust,PR7 6DY
Lancs Bowel Cancer Screening - Burnley General Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=1485,"Burnley Health Care N H S Trus, Burnley General Hospital, Casterton Avenue, Burnley, Lancashire, BB10 2PQ",Blackpool Teaching Hospitals NHS Foundation Trust,BB10 2PQ
Queen Victoria Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=116323,"Thornton Road, Morecambe, Lancashire, LA4 5NN",Blackpool Teaching Hospitals NHS Foundation Trust,LA4 5NN
Royal Lancaster Infirmary,/Services/hospitals/Overview/DefaultView.aspx?id=119580,"Ashton Road, Lancaster, Lancashire, LA1 4RP",Blackpool Teaching Hospitals NHS Foundation Trust,LA1 4RP
Royal Preston Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=115886,"Sharoe Green Lane, Fulwood, Preston, Lancashire, PR2 9HT",Blackpool Teaching Hospitals NHS Foundation Trust,PR2 9HT
Beardwood Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=128485,"Preston New Road, Blackburn, Lancashire, BB2 7AE",Bolton NHS Foundation Trust,BB2 7AE
Beaumont Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=128703,"Chorley New Road, Lostock, Bolton, Lancashire, BL6 4LA",Bolton NHS Foundation Trust,BL6 4LA
Leigh Infirmary,/Services/hospitals/Overview/DefaultView.aspx?id=111444,"The Avenue, Leigh, Lancashire, WN7 1HS",Bolton NHS Foundation Trust,WN7 1HS
Royal Bolton Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=929,"Minerva Road, Farnworth, Bolton, Lancashire, BL4 0JR",Bolton NHS Foundation Trust,BL4 0JR
Wrightington Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=148479,"Hall Lane, Wrightington, Wigan, Lancashire, WN6 9EP",Bolton NHS Foundation Trust,WN6 9EP
Airedale Centre for Mental Health,/Services/hospitals/Overview/DefaultView.aspx?id=90840,"Steeton, Keighley, Bradford, BD20 6TD",Bradford District NHS Foundation Trust,BD20 6TD
Lynfield Mount Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=3071,"Heights Lane, Bradford, West Yorkshire, BD9 6DP",Bradford District NHS Foundation Trust,BD9 6DP
Stoney Ridge Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=133926,"Stoney Ridge Road, Bingley, West Yorkshire, BD16 1UL",Bradford District NHS Foundation Trust,BD16 1UL
Airedale General,/Services/hospitals/Overview/DefaultView.aspx?id=99528,"Airedale General Hospital, Skipton Road, Steeton, Keighley, West Yorkshire, BD20 6TD",Bradford Teaching Hospitals NHS Foundation Trust,BD20 6TD
Bradford Royal Infirmary,/Services/hospitals/Overview/DefaultView.aspx?id=381,"Duckworth Lane, Bradford, West Yorkshire, BD9 6RJ",Bradford Teaching Hospitals NHS Foundation Trust,BD9 6RJ
Chapel Allerton Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=151630,"Chapeltown Road, Leeds, LS7 4SA",Bradford Teaching Hospitals NHS Foundation Trust,LS7 4SA
Dewsbury And District Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=152861,"Dewsbury &amp; District Hospital, Halifax Road, Dewsbury, WF13 4HS",Bradford Teaching Hospitals NHS Foundation Trust,WF13 4HS
Eccleshill Community Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=34416,"450 Harrogate Road, Eccleshill, Bradford, West Yorkshire, BD10 0JE",Bradford Teaching Hospitals NHS Foundation Trust,BD10 0JE
Leeds General Infirmary,/Services/hospitals/Overview/DefaultView.aspx?id=151628,"Great George Street, Leeds, LS1 3EX",Bradford Teaching Hospitals NHS Foundation Trust,LS1 3EX
Pinderfields Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=152860,"Aberford Road, Wakefield, WF1 4DG",Bradford Teaching Hospitals NHS Foundation Trust,WF1 4DG
Sheffield Childrens Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=152294,"Western Bank, Sheffield, S10 2TH",Bradford Teaching Hospitals NHS Foundation Trust,S10 2TH
Shipley Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=34418,"98 Kirkgate, Shipley, West Yorkshire, BD18 3LT",Bradford Teaching Hospitals NHS Foundation Trust,BD18 3LT
St James' Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=151629,"Beckett Street, Leeds, LS9 7TF",Bradford Teaching Hospitals NHS Foundation Trust,LS9 7TF
St Lukes Hospital,/Services/hospitals/Overview/DefaultView.aspx?id=109,"Little Horton Lane, Bradford, West Yorkshire, BD5 0NA",Bradford Teaching Hospitals NHS Foundation Trust,BD5 0NA
